Пометка	Операция	Команда	ТипОперации
Истина	Выгрузить товары	СоздатьФайлСТоварами();	Импорт
Истина	Выгрузить кванты	СоздатьФайлСКвантами();	Импорт
Истина	Выгрузить архивные остатки	СоздатьФайлСАрхивнымиОстатками();	Импорт
Истина	Выгрузить актуальные остатки	СоздатьФайлСТекущимиОстатками();	Импорт
Истина	Выгрузить прайсы	СоздатьФайлСПрайсами();	Импорт
Истина	Выгрузить контрагентов	СоздатьФайлСКонтрагентам();	Импорт
Истина	Выгрузить торговые точки	СоздатьФайлСТорговымиТочками();	Импорт
Истина	Выгрузить организации	СоздатьФайлПоОперациям();	Импорт
Истина	Выгрузить продажи	СоздатьФайлСПродажами();	Импорт
Истина	Выгрузить закупки	СоздатьФайлСЗакупками();	Импорт
Истина	Выгрузить недопоставки	СоздатьФайлСНедопоставками();	Импорт
Истина	Выгрузить долги	СоздатьФайлСДолгами();	Импорт
Истина	Загрузить заказы	ЗагрузитьЗаказы()	Экспорт
Истина	Загрузить платежи	ЗагрузитьПлатежи()	Экспорт
